pmid,food_key,coder1,coder2,adjudicated,sub_label,reason
23872837,agar,claim-directed,claim-directed,False,claim-directed,aim names DIT alongside GE/glycaemic response
17445351,almond,incidental,incidental,False,incidental,"aim = does chronic almond intake cause weight gain/body composition change; RMR/TEF reported only in results, not the aim"
34055150,apple,claim-directed,claim-directed,False,claim-directed,aim = effect of apple cider vinegar/acetic acid on resting & exercise energy expenditure
30011719,banana,incidental,incidental,False,incidental,"aim = taste-elicited facial expressions/ANS responses across 5 juices; banana one instance, skin temp one of several ANS measures, not named as the aim"
39531559,banana,claim-directed,claim-directed,False,claim-directed,title/aim = compare thermic effect of food of durian vs banana ingestion
17164830,barley,claim-directed,claim-directed,False,claim-directed,aim names TEF alongside glucose/insulin/satiety
23742725,barley,claim-directed,claim-directed,False,claim-directed,aim names DIT alongside GE/glycaemic response
29338262,barley,claim-directed,claim-directed,False,claim-directed,title states RBE increases cutaneous blood flow & skin temperature in humans
29792425,barley,claim-directed,claim-directed,False,claim-directed,title/aim = RBE prevents cutaneous blood flow/skin temperature drop under air conditioning
30814418,barley,claim-directed,claim-directed,False,claim-directed,title/aim = RBE prevents skin temperature decrease in cold conditions
35179770,barley,incidental,incidental,False,incidental,"aim = efficacy of barley water on hospitalized COVID-19 clinical outcomes (length of stay, ESR, CRP); body temperature/fever is one of several clinical markers, not named as the aim"
10073471,beef,claim-directed,claim-directed,False,claim-directed,title/aim = compare postprandial thermogenic response to beef vs cod meals
26821042,beef,incidental,incidental,False,incidental,aim = effect of dietary protein SOURCE (beef/pork vs soy/legume) & quantity on appetite/EE/cardio-metabolic responses during weight loss; beef is the instance chosen for the 'omnivorous protein source' arm -- this is the protocol's own named unsettled category-instance class
9868184,beef,incidental,incidental,False,incidental,"aim = digestibility/energy value of beef tallow vs corn oil as dietary fat sources (metabolisable-energy accounting); TEF reported only among results, not the stated aim"
1131767,beer,incidental,incidental,False,incidental,"aim = compare sensorimotor/physiological impairment across alcoholic beverage types; skin temperature is one of several physiological measures, no thermal term in title/aim"
12083361,beer,incidental,incidental,False,incidental,aim = does alcohol ingestion increase mosquito attraction; skin temperature measured as a candidate correlate and found uncorrelated
2055167,beer,incidental,incidental,False,incidental,"aim = alcohol cue-reactivity vs habitual consumption level; skin temperature is one of several physiological measures, not named as the aim"
8034373,beer,incidental,incidental,False,incidental,"aim = compensatory response to placebo alcohol vs personality alcoholism-risk; skin temperature/conductance are readouts of compensatory-response theory, not a food-thermal question"
40501501,black soybean,incidental,incidental,False,incidental,"aim = effect of black soybean extract on sleep quality; palmar temperature/blood flow are buried among many secondary outcomes, not named in title or aim"
16366740,black tea,claim-directed,claim-directed,False,claim-directed,objective explicitly states: test the supplement for stimulation of thermogenesis
16580033,black tea,claim-directed,claim-directed,False,claim-directed,"review whose stated objective is the thermogenic/metabolic effect of spices, teas and caffeine"
28034564,black tea,incidental,claim-directed,True,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim names cutaneous microvascular function and the background frames it as NO-mediated cardiovascular risk"
17945318,bonito,claim-directed,claim-directed,False,claim-directed,title/aim name peripheral blood flow as a co-equal outcome with mood and oxidative stress
27220795,bonito,incidental,incidental,False,incidental,"aim = does dried-bonito broth prevent hand-foot syndrome (a chemotherapy side effect); peripheral blood flow is monitored as the mechanism explaining HFS prevention, not itself the stated question"
29713197,bonito,incidental,incidental,False,incidental,"aim = analyze the mechanism of, and prevent, sorafenib-induced hand-foot syndrome; blood flow is monitored as the mechanism serving the HFS-prevention question"
20613890,cheese,incidental,incidental,False,incidental,cheese is present in both arms; food processing (whole-food vs processed-food) is what varies -- protocol's own worked example
30249314,cheese,claim-directed,claim-directed,False,claim-directed,title/aim = effect of whole-food (cottage cheese) vs casein-supplement protein source on next-morning resting energy expenditure
31632281,cheese,incidental,incidental,False,incidental,"aim = cardiovascular/cutaneous load of a festive meal (cheese fondue) vs a standard meal, both with wine; cheese fondue is the instance chosen for the 'festive meal' category -- matches the protocol's own named unsettled category-instance class"
39731691,cherry,incidental,incidental,False,incidental,"aim = effect of chokeberry+tart cherry supplements on cellulite reduction; blood-supply (tissue Doppler) is one secondary skin-structure finding, not the stated aim"
11676025,chicken,claim-directed,claim-directed,False,claim-directed,title/aim = effect of chicken essence tablets on resting metabolic rate
14974736,chicken,incidental,incidental,False,incidental,"aim = body fat content after a capsaicin+green-tea+chicken-essence supplement; REE/thermogenic effect is reported as an explanatory result, not the stated aim"
