food_key,pmid,sub_label,rationale,batch
coffee,29723112,claim-directed,"agreed label confirmed. The abstract is a findings-only bullet list with no aim sentence, which coder 2 flagged unclear-question, but the title — 'Effect of Green Coffee Consumption on Resting Energy Expenditure, Blood Pressure, and Body Temperature' — names the food and two §2.3 outcomes, and §8 counts the title as one of the two places the framing is read from",2026-08-12 claim-directed pass
garlic,2083171,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Influence of garlic powder on cutaneous microcirculation' names the food as what is given and skin perfusion as what is measured, in the plain-perfusion form rather than the vascular-function form that class A excludes, and names no rival outcome that could have shared primacy",2026-08-12 claim-directed pass
ginger,3570866,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Effect of ginger on metabolic rate' is the Effect-of-X-on-a-thermal-outcome form with no rival outcome named",2026-08-12 claim-directed pass
white sugar,7403080,claim-directed,"agreed label confirmed on the title alone, no abstract. 'Differences in the metabolic rate following ingestion of sucrose and glucose in man' names the constituent as what is varied and metabolic rate as what is measured, with no rival outcome named",2026-08-12 claim-directed pass
black tea,28034564,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim names cutaneous microvascular function and the background frames it as NO-mediated cardiovascular risk",2026-08-12 claim-directed pass
chicken,22956862,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; the aim is the anti-photoaging effect of a collagen supplement and dermal microcirculation is its mechanism",2026-08-12 claim-directed pass
coffee,27787687,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'systemic and regional haemodynamic effects'. Ruled together with coffee/7549411, which is the corrected reprint of the same study",2026-08-12 claim-directed pass
coffee,7549411,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'systemic and regional haemodynamic effects'. Ruled together with coffee/27787687, the same study, so the two records cannot take opposite labels",2026-08-12 claim-directed pass
coffee,4027129,incidental,"condition 2, per the chicken/41901102-42072392 worked example: a framing that presents the perfusion measure as vascular, endothelial or haemodynamic *function* is not naming a thermal outcome, however much the measurement itself qualifies under §2.3; 'the cardiovascular effects of regular and decaffeinated coffee', with forearm flow one member of a pressor panel",2026-08-12 claim-directed pass
coffee,9399380,incidental,condition 2: the framing names 'physiological responses and mood' and the study's own subject is the contribution of caffeine versus hot water versus beverage type; skin temperature is one of a panel and the hot-water arm is a serving-temperature contrast,2026-08-12 claim-directed pass
