food_en,food_ja,source_id,direction,quote,condition,sublabel
apple,りんご,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
asari clam,アサリ,attaka_navi,cool,"冷やす食材：
タコ、カニ、アサリ、牡蠣",,
banana,バナナ,attaka_navi,cool,— 体を強く冷やす（きゅうり、トマト、スイカ、バナナなど）,,
bean sprouts,もやし,attaka_navi,cool,白菜、大根、豆腐、もやし、水菜…。鍋の定番具材ですが、薬膳的にはすべて「涼性〜寒性」の食材です。,,
beef,牛肉,attaka_navi,neutral,"どちらでもない：
豚肉、牛肉、イカ、卵",,
burdock,ごぼう,attaka_navi,cool,ただし、根菜類でも大根やごぼうは薬膳では涼性に分類されるので注意が必要です。加熱して食べる分には冷えの心配は少ないですが、大根おろしのように生で食べると体を冷やしやすくなります。,,
carrot,にんじん,attaka_navi,warm,"温める食材：
生姜、にんにく、長ねぎ、にら、かぶ、にんじん、かぼちゃ、れんこん、しそ",,
celery,セロリ,attaka_navi,cool,"冷やす食材：
きゅうり、トマト、なす、レタス、白菜、大根、ゴボウ、セロリ",,
cherry,さくらんぼ,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
chestnut,栗,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
chicken,鶏肉,attaka_navi,warm,— 体を穏やかに温める（生姜、にんにく、ねぎ、鶏肉、エビなど）,,
chili pepper,唐辛子,attaka_navi,warm,— 体を強く温める（唐辛子、シナモン、山椒など）,,
chinese cabbage,白菜,attaka_navi,cool,— 体を穏やかに冷やす（大根、白菜、ほうれん草など）,,
cinnamon,シナモン,attaka_navi,warm,— 体を強く温める（唐辛子、シナモン、山椒など）,,
corn,とうもろこし,attaka_navi,neutral,"どちらでもない：
じゃがいも、さつまいも、長いも、とうもろこし、きのこ類",,
crab,カニ,attaka_navi,cool,"冷やす食材：
タコ、カニ、アサリ、牡蠣",,
cucumber,きゅうり,attaka_navi,cool,— 体を強く冷やす（きゅうり、トマト、スイカ、バナナなど）,,
daikon,大根,attaka_navi,cool,実は大根は薬膳では「体を冷やす食材」に分類されるんです,,
dried fruit,ドライフルーツ,attaka_navi,warm,ドライフルーツにすると温め寄りに変化します,,category
dried persimmon,干し柿,attaka_navi,warm,"ドライフルーツにすると変わる：
生の柿は寒性ですが、干し柿にすると温性に変化。水分が抜けることで性質が変わるんです。",干し柿,
egg,卵,attaka_navi,neutral,— 温めも冷やしもしない（米、大豆、じゃがいも、卵など）,,
eggplant,なす,attaka_navi,cool,"冷やす食材：
きゅうり、トマト、なす、レタス、白菜、大根、ゴボウ、セロリ",,
fermented food,発酵食品,attaka_navi,warm,発酵食品は、発酵過程で生まれる酵素が代謝を高め、体を温める作用があります。,,category
fish,魚,attaka_navi,warm,酒粕（発酵食品）＋鮭（温性の魚）＋にんじん・かぶ（温性の根菜）を使った粕汁は、北陸や東北で昔から冬の定番とされてきた温活メニューです。,,category
garlic,にんにく,attaka_navi,warm,— 体を穏やかに温める（生姜、にんにく、ねぎ、鶏肉、エビなど）,,
garlic ajillo,にんにくたっぷりのアヒージョ,attaka_navi,warm,エビ（温性）やきのこ（平性）を加えた温活アヒージョは、パーティーメニューとしてもおしゃれです。,,dish
ginger,生姜,attaka_navi,warm,— 体を穏やかに温める（生姜、にんにく、ねぎ、鶏肉、エビなど）,,
ginger takikomi rice,生姜炊き込みご飯,attaka_navi,warm,生姜を加熱することでショウガオールが生まれ、体の芯から温まります。,,dish
grape,ぶどう,attaka_navi,warm,"温める食材：
りんご、ぶどう、さくらんぼ、桃、プルーン、栗、くるみ、松の実",,
green onion,ねぎ,attaka_navi,warm,— 体を穏やかに温める（生姜、にんにく、ねぎ、鶏肉、エビなど）,,
honey,はちみつ,attaka_navi,neutral,"どちらでもない：
塩、はちみつ",,
